2453930.500000000, A.D. 2006-Jul-14 00:00:00.0000,  5.306078702961555E-01,  4.974824866255231E-01, -2.379256662216218E-02, -1.389565925045939E-02,  1.467974135532493E-02,  1.002601142264470E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453931.500000000, A.D. 2006-Jul-15 00:00:00.0000,  5.165076305305267E-01,  5.119669407680718E-01, -2.278083015302365E-02, -1.430301979627797E-02,  1.428724084747482E-02,  1.020741522221557E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453932.500000000, A.D. 2006-Jul-16 00:00:00.0000,  5.020054865337049E-01,  5.260531657261480E-01, -2.175134661337931E-02, -1.469941311483543E-02,  1.388333287859291E-02,  1.038092814785911E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453933.500000000, A.D. 2006-Jul-17 00:00:00.0000,  4.871125679969365E-01,  5.397299053151914E-01, -2.070491239743484E-02, -1.508451561802432E-02,  1.346832159479892E-02,  1.054640505464880E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453934.500000000, A.D. 2006-Jul-18 00:00:00.0000,  4.718403241311004E-01,  5.529862122425246E-01, -1.964233811412957E-02, -1.545801190343138E-02,  1.304252059964807E-02,  1.070370681630448E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453935.500000000, A.D. 2006-Jul-19 00:00:00.0000,  4.562005153355089E-01,  5.658114574608993E-01, -1.856444797829566E-02, -1.581959504460705E-02,  1.260625274473562E-02,  1.085270046407289E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453936.500000000, A.D. 2006-Jul-20 00:00:00.0000,  4.402052045787153E-01,  5.781953393077993E-01, -1.747207918812641E-02, -1.616896687672713E-02,  1.215984991061232E-02,  1.099325932162286E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453937.500000000, A.D. 2006-Jul-21 00:00:00.0000,  4.238667484961047E-01,  5.901278924208481E-01, -1.636608128936228E-02, -1.650583827731293E-02,  1.170365277809564E-02,  1.112526313577421E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453938.500000000, A.D. 2006-Jul-22 00:00:00.0000,  4.071977882093863E-01,  6.015994964197345E-01, -1.524731552662106E-02, -1.682992944161407E-02,  1.123801058998929E-02,  1.124859820283521E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453939.500000000, A.D. 2006-Jul-23 00:00:00.0000,  3.902112398735512E-01,  6.126008843451127E-01, -1.411665418232326E-02, -1.714097015228583E-02,  1.076328090334894E-02,  1.136315749034978E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453940.500000000, A.D. 2006-Jul-24 00:00:00.0000,  3.729202849571042E-01,  6.231231508450747E-01, -1.297497990367760E-02, -1.743870004305853E-02,  1.027982933236411E-02,  1.146884075409779E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453941.500000000, A.D. 2006-Jul-25 00:00:00.0000,  3.553383602618359E-01,  6.331577600998602E-01, -1.182318501821500E-02, -1.772286885594493E-02,  9.788029281981069E-03,  1.156555465009646E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453942.500000000, A.D. 2006-Jul-26 00:00:00.0000,  3.374791476887449E-01,  6.426965534756167E-01, -1.066217083837923E-02, -1.799323669166938E-02,  9.288261672398148E-03,  1.165321284144127E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453943.500000000, A.D. 2006-Jul-27 00:00:00.0000,  3.193565637570769E-01,  6.517317568981511E-01, -9.492846955699092E-03, -1.824957425294383E-02,  8.780914654582028E-03,  1.173173609979008E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453944.500000000, A.D. 2006-Jul-28 00:00:00.0000,  3.009847488838185E-01,  6.602559879377762E-01, -8.316130525088486E-03, -1.849166308022073E-02,  8.266383316970263E-03,  1.180105240129967E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453945.500000000, A.D. 2006-Jul-29 00:00:00.0000,  2.823780564313514E-01,  6.682622625965290E-01, -7.132945539838170E-03, -1.871929577955787E-02,  7.745069383542525E-03,  1.186109701682908E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453946.500000000, A.D. 2006-Jul-30 00:00:00.0000,  2.635510415313373E-01,  6.757440017892256E-01, -5.944222097880265E-03, -1.893227624223474E-02,  7.217380903460039E-03,  1.191181259622907E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453947.500000000, A.D. 2006-Jul-31 00:00:00.0000,  2.445184496932575E-01,  6.826950375100311E-01, -4.750895659928414E-03, -1.913041985576519E-02,  6.683731932489697E-03,  1.195314924654258E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453948.500000000, A.D. 2006-Aug-01 00:00:00.0000,  2.252952052063890E-01,  6.891096186764403E-01, -3.553906300108142E-03, -1.931355370595588E-02,  6.144542206446386E-03,  1.198506460394600E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453949.500000000, A.D. 2006-Aug-02 00:00:00.0000,  2.058963993443436E-01,  6.949824166428148E-01, -2.354197949713554E-03, -1.948151676966467E-02,  5.600236806904101E-03,  1.200752389926598E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453950.500000000, A.D. 2006-Aug-03 00:00:00.0000,  1.863372783816395E-01,  7.003085303758767E-01, -1.152717634740270E-03, -1.963416009791837E-02,  5.051245819443413E-03,  1.202050001691249E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453951.500000000, A.D. 2006-Aug-04 00:00:00.0000,  1.666332314321175E-01,  7.050834912848357E-01,  4.958529213942088E-05, -1.977134698905382E-02,  4.498003984719980E-03,  1.202397354707303E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453952.500000000, A.D. 2006-Aug-05 00:00:00.0000,  1.467997781193407E-01,  7.093032676991182E-01,  1.251759924478070E-03, -1.989295315155120E-02,  3.940950342655701E-03,  1.201793283101899E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453953.500000000, A.D. 2006-Aug-06 00:00:00.0000,  1.268525560894282E-01,  7.129642689869955E-01,  2.452854579133544E-03, -1.999886685630011E-02,  3.380527870077855E-03,  1.200237399940744E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453954.500000000, A.D. 2006-Aug-07 00:00:00.0000,  1.068073083770731E-01,  7.160633493086388E-01,  3.651917576831440E-03, -2.008898907789005E-02,  2.817183112071814E-03,  1.197730100346827E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453955.500000000, A.D. 2006-Aug-08 00:00:00.0000,  8.667987063582029E-02,  7.185978109977214E-01,  4.847998025466484E-03, -2.016323362475878E-02,  2.251365807626277E-03,  1.194272563876870E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453956.500000000, A.D. 2006-Aug-09 00:00:00.0000,  6.648615824395059E-02,  7.205654075656800E-01,  6.040146605432196E-03, -2.022152725780173E-02,  1.683528509523336E-03,  1.189866756183996E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453957.500000000, A.D. 2006-Aug-10 00:00:00.0000,  4.624215329758347E-02,  7.219643463233943E-01,  7.227416356228674E-03, -2.026380979726785E-02,  1.114126199279623E-03,  1.184515429914549E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453958.500000000, A.D. 2006-Aug-11 00:00:00.0000,  2.596389150287165E-02,  7.227932906153844E-01,  8.408863463589938E-03, -2.029003421764235E-02,  5.436158973113342E-04,  1.178222124851161E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453959.500000000, A.D. 2006-Aug-12 00:00:00.0000,  5.667448979414819E-03,  7.230513616619658E-01,  9.583548046374403E-03, -2.030016673028764E-02, -2.754373124132782E-05,  1.170991167291849E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453960.500000000, A.D. 2006-Aug-13 00:00:00.0000, -1.463107101275567E-02,  7.227381400052429E-01,  1.075053494244772E-02, -2.029418685362613E-02, -5.988927745879044E-04,  1.162827668656182E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453961.500000000, A.D. 2006-Aug-14 00:00:00.0000, -3.491555141006095E-02,  7.218536665552658E-01,  1.190889449278258E-02, -2.027208747066191E-02, -1.169970475810319E-03,  1.153737523310848E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453962.500000000, A.D. 2006-Aug-15 00:00:00.0000, -5.516987473336982E-02,  7.203984432331315E-01,  1.305770332299111E-02, -2.023387487365081E-02, -1.740315637378247E-03,  1.143727405608228E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453963.500000000, A.D. 2006-Aug-16 00:00:00.0000, -7.537793651416395E-02,  7.183734332082639E-01,  1.419604512149951E-02, -2.017956879574151E-02, -2.309467028194170E-03,  1.132804766132862E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453964.500000000, A.D. 2006-Aug-17 00:00:00.0000, -9.552365874576033E-02,  7.157800607275814E-01,  1.532301141357241E-02, -2.010920242942291E-02, -2.876963792698197E-03,  1.120977827151964E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453965.500000000, A.D. 2006-Aug-18 00:00:00.0000, -1.155910033463207E-01,  7.126202105347267E-01,  1.643770233038802E-02, -2.002282243162626E-02, -3.442345861555839E-03,  1.108255577267430E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453966.500000000, A.D. 2006-Aug-19 00:00:00.0000, -1.355639856202317E-01,  7.088962268780192E-01,  1.753922737236535E-02, -1.992048891534292E-02, -4.005154363445070E-03,  1.094647765268054E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453967.500000000, A.D. 2006-Aug-20 00:00:00.0000, -1.554266877043084E-01,  7.046109121062747E-01,  1.862670616594423E-02, -1.980227542763188E-02, -4.564932037452104E-03,  1.080164893181960E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453968.500000000, A.D. 2006-Aug-21 00:00:00.0000, -1.751632719851513E-01,  6.997675248521321E-01,  1.969926921301804E-02, -1.966826891390389E-02, -5.121223645578470E-03,  1.064818208530511E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453969.500000000, A.D. 2006-Aug-22 00:00:00.0000, -1.947579944739061E-01,  6.943697778028812E-01,  2.075605863224143E-02, -1.951856966843606E-02, -5.673576385230253E-03,  1.048619695834480E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453970.500000000, A.D. 2006-Aug-23 00:00:00.0000, -2.141952181246166E-01,  6.884218350592841E-01,  2.179622889143604E-02, -1.935329127108991E-02, -6.221540300614176E-03,  1.031582067309117E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453971.500000000, A.D. 2006-Aug-24 00:00:00.0000, -2.334594260825545E-01,  6.819283090832525E-01,  2.281894753037189E-02, -1.917256051047260E-02, -6.764668693404211E-03,  1.013718752887022E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453972.500000000, A.D. 2006-Aug-25 00:00:00.0000, -2.525352348487516E-01,  6.748942572360845E-01,  2.382339587313014E-02, -1.897651729328004E-02, -7.302518531121425E-03,  9.950438894090622E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453973.500000000, A.D. 2006-Aug-26 00:00:00.0000, -2.714074073471938E-01,  6.673251779091796E-01,  2.480876972933501E-02, -1.876531454026360E-02, -7.834650853526958E-03,  9.755723091418639E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453974.500000000, A.D. 2006-Aug-27 00:00:00.0000, -2.900608658812476E-01,  6.592270062498856E-01,  2.577428008351791E-02, -1.853911806872670E-02, -8.360631175888925E-03,  9.553195275288621E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453975.500000000, A.D. 2006-Aug-28 00:00:00.0000, -3.084807049658535E-01,  6.506061094858431E-01,  2.671915377185584E-02, -1.829810646156955E-02, -8.880029888635593E-03,  9.343017301890556E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453976.500000000, A.D. 2006-Aug-29 00:00:00.0000, -3.266522040220592E-01,  6.414692818516857E-01,  2.764263414553857E-02, -1.804247092293486E-02, -9.392422652911491E-03,  9.125357591790019E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453977.500000000, A.D. 2006-Aug-30 00:00:00.0000, -3.445608399205339E-01,  6.318237391224333E-01,  2.854398172003695E-02, -1.777241512054127E-02, -9.897390791557383E-03,  8.900390985350479E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453978.500000000, A.D. 2006-Aug-31 00:00:00.0000, -3.621922993608082E-01,  6.216771127583894E-01,  2.942247480956019E-02, -1.748815501482534E-02, -1.039452167503934E-02,  8.668298591141966E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453979.500000000, A.D. 2006-Sep-01 00:00:00.0000, -3.795324910731241E-01,  6.110374436668341E-01,  3.027741014601254E-02, -1.718991867504736E-02, -1.088340910185643E-02,  8.429267627534733E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453980.500000000, A.D. 2006-Sep-02 00:00:00.0000, -3.965675578299498E-01,  5.999131755862612E-01,  3.110810348177688E-02, -1.687794608254991E-02, -1.136365367296083E-02,  8.183491257690288E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453981.500000000, A.D. 2006-Sep-03 00:00:00.0000, -4.132838882544215E-01,  5.883131480993844E-01,  3.191389017567650E-02, -1.655248892139269E-02, -1.183486315972836E-02,  7.931168418177033E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453982.500000000, A.D. 2006-Sep-04 00:00:00.0000, -4.296681284132129E-01,  5.762465892815861E-01,  3.269412576149057E-02, -1.621381035662100E-02, -1.229665286502198E-02,  7.672503641451598E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453983.500000000, A.D. 2006-Sep-05 00:00:00.0000, -4.457071931816116E-01,  5.637231079919481E-01,  3.344818649842014E-02, -1.586218480045943E-02, -1.274864597689475E-02,  7.407706872461496E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453984.500000000, A.D. 2006-Sep-06 00:00:00.0000, -4.613882773688847E-01,  5.507526858144444E-01,  3.417546990293317E-02, -1.549789766675652E-02, -1.319047391448322E-02,  7.136993279638845E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453985.500000000, A.D. 2006-Sep-07 00:00:00.0000, -4.766988665922510E-01,  5.373456686574312E-01,  3.487539526141641E-02, -1.512124511370254E-02, -1.362177666537387E-02,  6.860583059916746E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453986.500000000, A.D. 2006-Sep-08 00:00:00.0000, -4.916267478879645E-01,  5.235127580200176E-01,  3.554740412307744E-02, -1.473253377560881E-02, -1.404220311457354E-02,  6.578701239172674E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453987.500000000, A.D. 2006-Sep-09 00:00:00.0000, -5.061600200487670E-01,  5.092650019340560E-01,  3.619096077263839E-02, -1.433208048369023E-02, -1.445141136406670E-02,  6.291577467214188E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453988.500000000, A.D. 2006-Sep-10 00:00:00.0000, -5.202871036767734E-01,  4.946137855913011E-01,  3.680555268228260E-02, -1.392021197634135E-02, -1.484906904292426E-02,  5.999445808148393E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453989.500000000, A.D. 2006-Sep-11 00:00:00.0000, -5.339967509415694E-01,  4.795708216654180E-01,  3.739069094241627E-02, -1.349726459931411E-02, -1.523485360742633E-02,  5.702544526272788E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453990.500000000, A.D. 2006-Sep-12 00:00:00.0000, -5.472780550335727E-01,  4.641481403389961E-01,  3.794591067080420E-02, -1.306358399612959E-02, -1.560845263086689E-02,  5.401115867742539E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453991.500000000, A.D. 2006-Sep-13 00:00:00.0000, -5.601204593030920E-01,  4.483580790460660E-01,  3.847077139967425E-02, -1.261952478913372E-02, -1.596956408268222E-02,  5.095405838299124E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453992.500000000, A.D. 2006-Sep-14 00:00:00.0000, -5.725137660759385E-01,  4.322132719409692E-01,  3.896485744040854E-02, -1.216545025161697E-02, -1.631789659656567E-02,  4.785663977348617E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453993.500000000, A.D. 2006-Sep-15 00:00:00.0000, -5.844481451368685E-01,  4.157266391047518E-01,  3.942777822547299E-02, -1.170173197142867E-02, -1.665316972725159E-02,  4.472143128681190E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453994.500000000, A.D. 2006-Sep-16 00:00:00.0000, -5.959141418725704E-01,  3.989113755005644E-01,  3.985916862726273E-02, -1.122874950652733E-02, -1.697511419567229E-02,  4.155099208126752E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453995.500000000, A.D. 2006-Sep-17 00:00:00.0000, -6.069026850663582E-01,  3.817809396898345E-01,  4.025868925357230E-02, -1.074689003291860E-02, -1.728347212221207E-02,  3.834790968445190E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453996.500000000, A.D. 2006-Sep-18 00:00:00.0000, -6.174050943371889E-01,  3.643490423212427E-01,  4.062602671942935E-02, -1.025654798544318E-02, -1.757799724780318E-02,  3.511479761752478E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453997.500000000, A.D. 2006-Sep-19 00:00:00.0000, -6.274130872160896E-01,  3.466296344047817E-01,  4.096089389506022E-02, -9.758124691887551E-03, -1.785845514262919E-02,  3.185429299788610E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453998.500000000, A.D. 2006-Sep-20 00:00:00.0000, -6.369187858535570E-01,  3.286368953833976E-01,  4.126303012978733E-02, -9.252028000900888E-03, -1.812462340222160E-02,  2.856905412334624E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453999.500000000, A.D. 2006-Sep-21 00:00:00.0000, -6.459147233519833E-01,  3.103852210149192E-01,  4.153220145168894E-02, -8.738671904211976E-03, -1.837629183075637E-02,  2.526175804091418E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2454000.500000000, A.D. 2006-Sep-22 00:00:00.0000, -6.543938497176575E-01,  2.918892110771644E-01,  4.176820074288253E-02, -8.218476153650662E-03, -1.861326261137751E-02,  2.193509810335047E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2454001.500000000, A.D. 2006-Sep-23 00:00:00.0000, -6.623495374273822E-01,  2.731636569092614E-01,  4.197084789032447E-02, -7.691865873413530E-03, -1.883535046342595E-02,  1.859178151616146E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2454002.500000000, A.D. 2006-Sep-24 00:00:00.0000, -6.697755866052036E-01,  2.542235288023650E-01,  4.213998991204612E-02, -7.159271168173571E-03, -1.904238278639578E-02,  1.523452687879935E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2454003.500000000, A.D. 2006-Sep-25 00:00:00.0000, -6.766662298053985E-01,  2.350839632530591E-01,  4.227550105878573E-02, -6.621126727487154E-03, -1.923419979058469E-02,  1.186606172267695E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2454004.500000000, A.D. 2006-Sep-26 00:00:00.0000, -6.830161363981805E-01,  2.157602500928398E-01,  4.237728289099539E-02, -6.077871426970536E-03, -1.941065461428583E-02,  8.489120048951640E-05,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2454005.500000000, A.D. 2006-Sep-27 00:00:00.0000, -6.888204165552322E-01,  1.962678195071265E-01,  4.244526433123940E-02, -5.529947926836631E-03, -1.957161342752150E-02,  5.106439869492606E-05,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2454006.500000000, A.D. 2006-Sep-28 00:00:00.0000, -6.940746248326378E-01,  1.766222289573004E-01,  4.247940169202961E-02, -4.977802268246896E-03, -1.971695552225366E-02,  1.720760753739069E-05,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
